Fri Nov 12 04:02:17 2021    output.dat

         193316222 function calls (193192901 primitive calls) in 125.045 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   134056    0.012    0.000    0.012    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\inspect.py:2550(default)
      418    0.012    0.000    0.013    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     8647    0.012    0.000    0.033    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1867(__init__)
     6452    0.012    0.000    0.169    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\text.py:173(update)
  7646/31    0.012    0.000    0.105    0.003 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:1647(_parseNoCache)
     3844    0.012    0.000    6.487    0.002 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\base.py:453(__mul__)
     8182    0.011    0.000    0.125    0.000 <__array_function__ internals>:2(cumsum)
     4975    0.011    0.000    0.017    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:697(__hash__)
     3844    0.011    0.000    0.866    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:359(_add_sparse)
    17584    0.011    0.000    0.078    0.000 <__array_function__ internals>:2(where)
     3844    0.011    0.000    0.011    0.000 {built-in method scipy.sparse._sparsetools.csr_has_canonical_format}
     3844    0.011    0.000    1.701    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\base.py:405(__add__)
    17555    0.011    0.000    0.050    0.000 <__array_function__ internals>:2(copy)
    10685    0.011    0.000    0.042    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\colors.py:178(to_rgba)
  896/800    0.011    0.000    0.705    0.001 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:813(reset_ticks)
    17848    0.010    0.000    0.011    0.000 {built-in method builtins.max}
     2529    0.010    0.000    0.016    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:2017(scale)
      605    0.010    0.000    0.018    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axes\_base.py:2763(_get_axis_map)
     8186    0.010    0.000    0.015    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:849(set_size)
     3256    0.010    0.000    0.019    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\lines.py:1111(set_linestyle)
     8182    0.010    0.000    0.105    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2458(cumsum)
    16949    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
    16443    0.010    0.000    0.042    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\colors.py:132(_is_nth_color)
     5977    0.010    0.000    0.012    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:831(set_stretch)
    16405    0.010    0.000    0.031    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\re.py:188(match)
    17300    0.010    0.000    0.014    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\enum.py:358(__call__)
     2457    0.009    0.000    0.137    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\patches.py:772(get_patch_transform)
      107    0.009    0.000    0.009    0.000 {method 'get_glyph_name' of 'matplotlib.ft2font.FT2Font' objects}
    16436    0.009    0.000    0.040    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\re.py:289(_compile)
  3397/25    0.009    0.000    1.871    0.075 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:33(draw_wrapper)
      176    0.009    0.000    0.009    0.000 {built-in method nt.stat}
